county,reporting_agency,agency_full_name,ncic_number_county,ncic_number_city,ncic_number_agency,date_of_birth_mm,date_of_birth_dd,date_of_birth_yyyy,race,gender,custody_status,custody_offense,date_of_death_yyyy,date_of_death_mm,date_of_death_dd,custodial_responsibility_at_time_of_death,location_where_cause_of_death_occurred,facility_death_occured,manner_of_death,means_of_death
San Joaquin,State,Deuel Vocational Institution,39,01,5C,6,9,1952,Asian Indian,Male,Sentenced,200,2000,7,19,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,4,21,1921,Black,Male,Booked - Awaiting Trial,372,2000,7,21,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Alameda,Police,Oakland Police Department,1,09,00,8,11,1944,Black,Male,Awaiting Booking,830,2000,7,21,City Jail,Not Applicable,City Jail,Natural,Not Applicable
San Luis Obispo,State,California Men's Colony,40,01,5C,11,15,1928,White,Male,Sentenced,120,2000,7,22,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
San Joaquin,State,Deuel Vocational Institution,39,01,5C,12,4,1943,White,Male,Sentenced,854,2000,7,24,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Kern,State,Wasco State Prison,15,02,5C,3,24,1950,Black,Male,Sentenced,420,2000,7,30,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Monterey,State,Correctional Training Facility,27,01,5C,8,5,1932,Other,Male,Sentenced,801,2000,7,31,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Lassen,State,High Desert State Prison,18,03,5C,11,25,1949,White,Male,Sentenced,110,2000,8,2,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Solano,State,"California State Prison, Solano",48,04,5C,9,11,1960,White,Male,Sentenced,700,2000,8,4,CDC/CRC,Common,CDC/CRC,Suicide,Drug Overdose
Amador,State,Mule Creek State Prison,3,03,5C,2,7,1957,Black,Male,Sentenced,420,2000,8,4,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Monterey,State,Correctional Training Facility,27,01,5C,2,16,1940,White,Male,Sentenced,410,2000,8,7,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
San Bernardino,State,California Institution for Men,36,01,5C,11,1,1942,White,Male,Sentenced,700,2000,8,10,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Lassen,State,High Desert State Prison,18,03,5C,12,22,1937,Hispanic,Male,Sentenced,200,2000,8,11,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Monterey,State,Salinas Valley State Prison,27,02,5C,3,18,1938,Other,Male,Sentenced,110,2000,8,12,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Lassen,State,High Desert State Prison,18,03,5C,10,8,1950,White,Male,Sentenced,120,2000,8,17,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,7,18,1950,Other,Male,Sentenced,720,2000,8,20,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,9,23,1958,Black,Male,Sentenced,120,2000,8,22,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Kings,State,Corcoran State Prison,16,02,5C,6,25,1942,White,Male,Sentenced,220,2000,8,23,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Marin,State,San Quentin State Prison,21,01,5C,3,3,1938,Black,Male,Sentenced,100,2000,8,20,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,5,5,1948,Black,Male,Sentenced,510,2000,8,29,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
San Bernardino,State,California Institution for Men,36,01,5C,6,28,1946,Hispanic,Male,Sentenced,705,2000,8,29,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,12,16,1953,Black,Male,Sentenced,800,2000,8,30,County Jail,Not Applicable,County Jail,Natural,Not Applicable
Kern,State,Wasco State Prison,15,02,5C,2,27,1951,Hispanic,Male,Sentenced,822,2000,9,1,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,2,28,1965,White,Male,Sentenced,100,2000,9,9,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,1,5,1978,White,Male,Sentenced,392,2000,9,12,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,12,4,1949,Pacific Islander,Male,Booked - Awaiting Trial,398,2000,9,12,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Kings,State,California Substance Abuse Treatment Facility,16,04,5C,1,12,1950,White,Male,Sentenced,850,2000,9,13,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,5,24,1938,White,Male,Sentenced,110,2000,9,13,CDC/CRC,Not Applicable,County Jail,Natural,Not Applicable
Imperial,State,Centinela State Prison,13,04,5C,9,18,1969,White,Male,Sentenced,110,2000,9,18,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Madera,State,Central CA Women's Facility,20,01,5C,2,9,1946,White,Female,Sentenced,530,2000,9,18,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,8,28,1956,White,Male,Sentenced,110,2000,9,20,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Siskiyou,Sheriff,Siskiyou County Sheriff's Department,47,00,00,2,18,1938,White,Male,Sentenced,93,2000,9,22,County Jail,Not Applicable,County Jail,Natural,Not Applicable
Marin,State,San Quentin State Prison,21,01,5C,1,7,1935,Black,Male,Sentenced,516,2000,9,26,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
San Luis Obispo,State,California Men's Colony,40,01,5C,6,13,1960,White,Male,Sentenced,120,2000,9,30,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,6,29,1961,Hispanic,Female,Booked - Awaiting Trial,370,2000,3,30,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Kern,State,North Kern State Prison,15,04,5C,9,23,1949,White,Male,Sentenced,420,2000,10,1,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
San Luis Obispo,State,California Men's Colony,40,01,5C,4,23,1942,Hispanic,Male,Sentenced,420,2000,10,3,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,12,1,1930,Hispanic,Male,Sentenced,120,2000,10,4,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Kern,State,California Correctional Institution,15,01,5C,6,3,1940,Hispanic,Male,Sentenced,800,2000,3,11,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,11,6,1950,Black,Male,Sentenced,220,2000,10,7,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,3,14,1947,White,Male,Sentenced,801,2000,10,7,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Kings,State,California Substance Abuse Treatment Facility,16,04,5C,7,17,1961,Black,Male,Sentenced,800,2000,10,8,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,5,24,1923,White,Male,Sentenced,700,2000,10,12,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Kings,State,Corcoran State Prison,16,02,5C,5,20,1945,White,Male,Sentenced,611,2000,10,12,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,3,17,1952,Hispanic,Male,Sentenced,610,2000,10,14,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Riverside,State,Ironwood State Prison,33,06,5C,10,19,1962,White,Male,Sentenced,150,2000,10,15,CDC/CRC,Common,Local Hospital,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Solano,State,California Medical Facility,48,01,5C,10,29,1954,Black,Male,Sentenced,700,2000,10,17,CDC/CRC,Medical Treatment,CDC/CRC,Natural,Not Applicable
San Bernardino,State,California Institution for Men,36,01,5C,11,2,1964,Black,Male,Sentenced,516,2000,10,23,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,2,22,1963,Hispanic,Male,Sentenced,400,2000,10,26,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Kings,State,Avenal State Prison,16,01,5C,8,18,1940,White,Male,Sentenced,700,2000,11,6,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Riverside,State,Ironwood State Prison,33,06,5C,10,26,1946,Black,Male,Sentenced,800,2000,3,6,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Santa Clara,Police,San Jose Police Department,43,13,00,12,15,1959,Black,Male,Other,372,2000,7,1,Other,Other,Local Hospital,Accidental,Drug Overdose
San Bernardino,State,California Institution for Men,36,01,5C,3,5,1943,Hispanic,Male,Sentenced,510,2000,11,3,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Kings,State,California Substance Abuse Treatment Facility,16,04,5C,7,23,1952,Hispanic,Male,Sentenced,210,2000,11,2,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,12,28,1945,Black,Male,Booked - Awaiting Trial,93,2000,4,30,County Jail,Not Applicable,County Jail,Natural,Not Applicable
Madera,State,Central CA Women's Facility,20,01,5C,8,3,1965,White,Female,Sentenced,800,2000,6,25,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
San Bernardino,State,California Institution for Men,36,01,5C,6,5,1963,Black,Male,Sentenced,250,2000,11,1,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
San Francisco,Police,San Francisco Police Department,38,01,00,3,25,1952,Hispanic,Male,Sentenced,160,2000,10,25,City Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Fresno,Police,Coalinga Police Department,10,02,00,5,3,1957,Hispanic,Male,Booked - No Charges Filed,860,2000,8,16,City Jail,Holding,Local Hospital,Suicide,"Hanging,Strangulation"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,12,7,1959,Black,Male,Sentenced,400,2000,10,30,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,12,11,1974,Hispanic,Male,Sentenced,100,2000,6,20,County Jail,Living,County Jail,Suicide,Other
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,7,5,1959,Black,Male,Sentenced,400,2000,10,3,County Jail,Not Applicable,County Jail,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,8,4,1958,Hispanic,Male,Sentenced,836,2000,5,25,County Jail,Not Applicable,County Jail,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,9,13,1949,Black,Male,Booked - Awaiting Trial,94,2000,5,4,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,3,2,1922,Hispanic,Male,Sentenced,800,2000,3,12,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Madera,State,Central CA Women's Facility,20,01,5C,9,3,1966,Hispanic,Female,Sentenced,420,2000,12,9,CDC/CRC,Living,CDC/CRC,Natural,Not Applicable
Kings,State,Corcoran State Prison,16,02,5C,9,18,1945,Black,Male,Sentenced,800,2000,8,1,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Madera,State,Central CA Women's Facility,20,01,5C,5,16,1953,Black,Female,Sentenced,800,2000,2,24,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
San Luis Obispo,State,Atascadero State Hospital,40,01,5M,10,24,1929,White,Male,Sentenced,760,2000,10,6,State Hospital,Not Applicable,State Hospital,Natural,Not Applicable
Fresno,State,Pleasant Valley State Prison,10,01,5C,8,14,1967,Black,Male,Sentenced,321,2000,5,19,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Shasta,Sheriff,Shasta County Sheriff's Department,45,00,00,2,13,1962,White,Male,Booked - Awaiting Trial,700,2000,8,14,County Jail,Common,Local Hospital,Suicide,Other
Madera,State,Central CA Women's Facility,20,01,5C,5,21,1944,Hispanic,Female,Sentenced,501,2000,6,3,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,6,25,1956,White,Male,Sentenced,400,2000,12,7,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,7,15,1955,Black,Male,Booked - Awaiting Trial,800,2000,3,21,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
San Bernardino,State,California Institution for Women,36,08,5C,8,9,1914,Other,Female,Sentenced,150,2000,1,8,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Madera,State,Central CA Women's Facility,20,01,5C,7,28,1923,White,Female,Sentenced,120,2000,1,6,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,11,10,1951,White,Male,Sentenced,510,2000,6,18,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,8,29,1915,Black,Male,Booked - No Charges Filed,100,2000,1,1,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,12,7,1973,Hispanic,Male,Sentenced,100,2000,2,11,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,12,30,1936,White,Male,Sentenced,700,2000,3,13,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Riverside,Sheriff,Riverside County Sheriff's Department,33,00,00,4,13,1979,Black,Male,Booked - Awaiting Trial,100,2000,7,30,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,2,23,1950,Hispanic,Male,Sentenced,800,2000,3,13,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
San Diego,State,R. J. Donovan Correctional Facility,37,01,5C,6,11,1945,Hispanic,Male,Sentenced,835,2000,7,25,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
San Diego,State,R. J. Donovan Correctional Facility,37,01,5C,12,20,1974,Hispanic,Male,Sentenced,610,2000,7,26,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Yolo,Sheriff,Yolo County Sheriff's Department,57,00,00,6,24,1963,White,Male,Booked - Awaiting Trial,372,2000,8,5,County Jail,Living,County Jail,Suicide,"Hanging,Strangulation"
Kings,State,Avenal State Prison,16,01,5C,10,8,1956,Hispanic,Male,Sentenced,345,2000,9,3,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
San Bernardino,Sheriff,San Bernardino County Sheriff's Department,36,00,00,8,19,1968,White,Female,Booked - Awaiting Trial,993,2000,9,11,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
San Diego,State,R. J. Donovan Correctional Facility,37,01,5C,6,23,1943,Hispanic,Male,Sentenced,410,2000,9,17,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Monterey,State,Salinas Valley State Prison,27,02,5C,9,7,1945,Black,Male,Sentenced,800,2000,10,6,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,"California State Prison, Solano",48,04,5C,10,20,1957,Black,Male,Sentenced,800,2000,9,9,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Fresno,Sheriff,Fresno County Sheriff's Department,10,00,00,8,25,1965,Hispanic,Male,Booked - Awaiting Trial,345,2000,10,18,County Jail,Living,County Jail,Other,Other
San Diego,Sheriff,San Diego County Sheriff's Department,37,00,00,2,21,1947,White,Male,Sentenced,841,2000,10,29,County Jail,Living,County Jail,Suicide,Other
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,11,20,1963,Hispanic,Female,Booked - Awaiting Trial,856,2000,10,31,County Jail,Not Applicable,County Jail,Natural,Not Applicable
San Diego,State,R. J. Donovan Correctional Facility,37,01,5C,11,2,1958,Hispanic,Male,Sentenced,800,2000,11,2,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Monterey,State,Correctional Training Facility,27,01,5C,10,21,1950,Hispanic,Male,Sentenced,300,2000,11,4,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,3,7,1956,Black,Male,Sentenced,220,2000,11,5,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Madera,State,Central CA Women's Facility,20,01,5C,12,6,1969,White,Female,Sentenced,570,2000,11,8,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,4,2,1946,Black,Male,Other,94,2000,11,15,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,1,9,1961,Hispanic,Male,Sentenced,570,2000,11,21,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Alameda,Sheriff,Alameda County Sheriff's Department,1,00,00,6,22,1941,White,Male,Booked - No Charges Filed,90,2000,4,26,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Sonoma,Sheriff,Sonoma County Sheriff's Department,49,00,00,8,28,1954,White,Male,Booked - Awaiting Trial,570,2000,7,19,County Jail,Living,Local Hospital,Suicide,"Knife,Cutting Instrument"
San Francisco,Sheriff,San Francisco County Sheriff's Department,38,00,00,9,12,1954,White,Male,Booked - Awaiting Trial,837,2000,5,19,County Jail,Living,County Jail,Natural,Not Applicable
San Luis Obispo,State,Atascadero State Hospital,40,01,5M,7,28,1936,White,Male,Sentenced,700,2000,5,10,State Hospital,Not Applicable,Local Hospital,Natural,Not Applicable
Riverside,Sheriff,Riverside County Sheriff's Department,33,00,00,2,2,1980,White,Male,Sentenced,200,2000,11,23,County Jail,Living,County Jail,Suicide,"Hanging,Strangulation"
Contra Costa,Sheriff,Contra Costa County Sheriff's Department,7,00,00,8,11,1980,Black,Male,Other,65,2000,2,13,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,9,6,1962,Black,Female,Booked - Awaiting Trial,94,2000,7,19,County Jail,Medical Treatment,County Jail,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,2,21,1957,Black,Male,Sentenced,800,2000,7,24,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,4,17,1960,Hispanic,Male,Sentenced,120,2000,10,15,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Imperial,Sheriff,Imperial County Sheriff's Department,13,00,00,11,5,1977,Hispanic,Male,Sentenced,300,2000,10,22,County Jail,Living,County Jail,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,1,25,1976,Hispanic,Male,Out to Court,100,2000,10,29,County Jail,Living,County Jail,Homicide Willful (Other Inmate),"Hanging,Strangulation"
Del Norte,State,Pelican Bay State Prison,8,01,5C,6,1,1955,White,Male,Sentenced,850,2000,11,10,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Los Angeles,Sheriff,Los Angeles County Sheriff's Department,19,00,00,7,14,1908,Hispanic,Male,Booked - Awaiting Trial,700,2000,10,1,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Los Angeles,Police,Monrovia Police Department,19,46,00,8,9,1977,Black,Female,Booked - No Charges Filed,801,2000,11,9,City Jail,Living,City Jail,Accidental,Drug Overdose
San Luis Obispo,State,California Men's Colony,40,01,5C,1,21,1972,Black,Male,Sentenced,220,2000,12,4,CDC/CRC,Living,CDC/CRC,Suicide,"Hanging,Strangulation"
Monterey,State,Correctional Training Facility,27,01,5C,10,19,1952,Hispanic,Male,Sentenced,400,2000,11,23,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Del Norte,State,Pelican Bay State Prison,8,01,5C,10,26,1947,Black,Male,Sentenced,220,2000,1,27,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Del Norte,State,Pelican Bay State Prison,8,01,5C,9,29,1976,Hispanic,Male,Sentenced,110,2000,2,23,CDC/CRC,Common,CDC/CRC,Homicide Justified (Law Enforcement Staff),Firearm
Orange,Sheriff,Orange County Sheriff's Department,30,00,00,2,12,1952,Hispanic,Male,Booked - Awaiting Trial,372,2000,2,26,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
Madera,State,Central CA Women's Facility,20,01,5C,2,1,1953,Other,Female,Sentenced,110,2000,2,29,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Madera,State,Central CA Women's Facility,20,01,5C,1,1,1963,White,Female,Sentenced,790,2000,12,4,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
San Francisco,Police,San Francisco Police Department,38,01,00,2,20,1957,Black,Male,Other,0,2000,7,16,Other,Other,Local Hospital,Accidental,Drug Overdose
San Luis Obispo,State,California Men's Colony,40,01,5C,6,8,1952,Hispanic,Male,Sentenced,700,2000,8,1,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Santa Barbara,Sheriff,Santa Barbara County Sheriff's Department,42,00,00,12,14,1964,Black,Female,Sentenced,582,2000,8,19,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
San Joaquin,Sheriff,San Joaquin County Sheriff's Department,39,00,00,6,1,1981,Black,Male,Booked - Awaiting Trial,801,2000,8,31,County Jail,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Kern,Sheriff,Kern County Sheriff's Department,15,00,00,3,13,1954,Hispanic,Male,Booked - Awaiting Trial,510,2000,9,20,County Jail,Living,County Jail,Suicide,"Hanging,Strangulation"
Kern,Sheriff,Kern County Sheriff's Department,15,00,00,4,17,1949,Black,Male,Booked - Awaiting Trial,94,2000,10,13,County Jail,Not Applicable,County Jail,Natural,Not Applicable
San Diego,Sheriff,San Diego County Sheriff's Department,37,00,00,5,20,1944,Unknown,Male,Booked - Awaiting Trial,800,2000,10,13,County Jail,Not Applicable,Local Hospital,Natural,Not Applicable
San Francisco,Sheriff,San Francisco County Sheriff's Department,38,00,00,9,9,1912,Chinese,Male,Booked - Awaiting Trial,372,2000,10,20,County Jail,Living,County Jail,Natural,Not Applicable
Monterey,State,Salinas Valley State Prison,27,02,5C,1,26,1928,Hispanic,Male,Sentenced,700,2000,11,13,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Sacramento,State,Folsom State Prison,34,01,5C,7,3,1943,Other,Male,Sentenced,732,2000,11,21,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Santa Barbara,Sheriff,Santa Barbara County Sheriff's Department,42,00,00,12,20,1951,White,Male,Booked - Awaiting Trial,200,2000,3,19,County Jail,Common,Local Hospital,Accidental,Drug Overdose
Kern,Police,Bakersfield Police Department,15,02,00,2,9,1966,Hispanic,Male,Other,825,2000,5,14,Local Hospital,Other,Local Hospital,Accidental,Drug Overdose
Lassen,State,High Desert State Prison,18,03,5C,7,19,1946,White,Male,Sentenced,700,2000,5,22,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Sacramento,Police,Sacramento Police Department,34,04,00,7,11,1960,White,Male,Other,0,2000,9,23,Other,Other,Local Hospital,Accidental,Drug Overdose
Kings,State,Corcoran State Prison,16,02,5C,7,10,1968,Hispanic,Male,Sentenced,120,2000,11,1,CDC/CRC,Living,Local Hospital,Suicide,"Hanging,Strangulation"
Kings,State,Corcoran State Prison,16,02,5C,3,30,1950,Black,Male,Sentenced,510,2000,11,1,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Lassen,State,High Desert State Prison,18,03,5C,12,5,1954,White,Male,Sentenced,410,2000,11,10,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
San Luis Obispo,State,California Men's Colony,40,01,5C,2,19,1955,Hispanic,Male,Sentenced,110,2000,11,18,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
San Bernardino,State,California Institution for Men,36,01,5C,1,17,1961,Hispanic,Male,Sentenced,700,2000,12,15,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
San Bernardino,Sheriff,San Bernardino County Sheriff's Department,36,00,00,12,22,1927,White,Male,Booked - Awaiting Trial,832,2000,10,8,County Jail,Not Applicable,County Jail,Natural,Not Applicable
San Diego,State,R. J. Donovan Correctional Facility,37,01,5C,8,19,1939,Hispanic,Male,Sentenced,700,2000,3,1,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Sacramento,Sheriff,Sacramento County Sheriff's Department,34,00,00,1,13,1953,White,Male,Sentenced,836,2000,11,3,County Jail,Not Applicable,County Jail,Natural,Not Applicable
San Luis Obispo,State,Atascadero State Hospital,40,01,5M,10,29,1946,Black,Male,Sentenced,610,2000,12,23,State Hospital,Not Applicable,Local Hospital,Natural,Not Applicable
Madera,State,Valley State Prison for Women,20,04,5C,9,21,1963,White,Female,Sentenced,825,2000,12,26,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,6,17,1948,Black,Male,Sentenced,410,2000,11,23,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,6,30,1960,White,Male,Sentenced,530,2000,11,25,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Lassen,State,High Desert State Prison,18,03,5C,10,19,1950,White,Male,Booked - Awaiting Trial,700,2000,11,26,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Madera,State,Central CA Women's Facility,20,01,5C,6,1,1961,Black,Female,Sentenced,801,2000,11,27,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Imperial,State,Calipatria State Prison,13,01,5C,3,30,1966,Black,Male,Sentenced,110,2000,11,28,CDC/CRC,Common,CDC/CRC,Homicide Willful (Other Inmate),"Knife,Cutting Instrument"
Madera,State,Valley State Prison for Women,20,04,5C,7,3,1943,White,Female,Sentenced,200,2000,11,29,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
Madera,State,Central CA Women's Facility,20,01,5C,3,21,1954,Black,Female,Sentenced,801,2000,12,2,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
San Bernardino,State,California Institution for Women,36,08,5C,7,3,1964,White,Female,Sentenced,800,2000,12,4,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Kings,State,Avenal State Prison,16,01,5C,10,29,1943,White,Male,Sentenced,400,2000,12,5,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
San Diego,State,R. J. Donovan Correctional Facility,37,01,5C,12,29,1945,Black,Male,Sentenced,800,2000,12,5,CDC/CRC,Not Applicable,Local Hospital,Natural,Not Applicable
Solano,State,California Medical Facility,48,01,5C,8,21,1949,White,Male,Sentenced,120,2000,12,5,CDC/CRC,Not Applicable,CDC/CRC,Natural,Not Applicable
